Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;15;14;8;16
3;75;73;18;78
4;89;93;24;94
8;199;212;36;225
16;263;308;78;329
32;347;398;156;447
