Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;0.82;0.84;0.51;0.81
3;0.72;0.71;0.35;0.70
4;0.64;0.62;0.24;0.61
8;0.39;0.33;0.14;0.31
16;0.27;0.17;0.065;0.13
32;0.11;0.065;0.014;0.048
