Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;0.85;0.89;0.61;0.84
3;0.79;0.81;0.45;0.78
4;0.68;0.69;0.34;0.67
8;0.45;0.41;0.12;0.43
16;0.23;0.18;0.085;0.22
32;0.09;0.05;0.014;0.08
