Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;18;16;7;19
3;92;91;18;94
4;99;104;65;101
8;182;199;127;186
16;338;391;228;345
32;441;511;345;449
