Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;210;1110;180;190
3;280;1375;260;270
4;320;1490;290;310
8;380;1820;340;370
16;400;2400;360;380
32;520;2620;460;490
