Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;0.82;0.84;0.51;0.79
3;0.64;0.65;0.35;0.62
4;0.59;0.55;0.24;0.57
8;0.34;0.27;0.08;0.32
16;0.19;0.14;0.035;0.18
32;0.07;0.04;0.008;0.06
