Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;14;12;7;15
3;72;71;18;75
4;87;89;45;94
8;161;194;107;210
16;302;351;147;396
32;404;453;212;527
