Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;270;1510;240;250
3;320;1750;290;300
4;350;1970;310;320
8;390;2530;350;360
16;470;2960;420;430
32;590;3300;520;540
