Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др."
2;0.84;0.85;0.71;0.82
3;0.79;0.8;0.55;0.73
4;0.71;0.68;0.43;0.66
8;0.59;0.51;0.27;0.43
16;0.3;0.22;0.11;0.19
32;0.17;0.11;0.018;0.08
