Название;"Предлагаемый алгоритм";"Faloutsos, Tong";"Gionis и др.";"Barbieri и др. "
2;5.5;0;3.4;5.4
3;5.7;0;3.6;5.5
4;5.8;0;3.8;5.6
8;5.7;0;4.1;5.5
16;5.6;0;4.9;5.6
32;6.3;0;5.3;6.0
